pay1,pay2,y
50.58108152,68.97686826,0
113.8985324,19.24791812,1
73.97046519,19.72620367,0
67.30393026,91.46251428,1
60.38624858,68.12462938,1
40.20867272,74.20754225,0
70.99937627,85.10964759,1
78.04146398,18.84730516,0
28.52441228,51.10008595,0
73.59957514,86.84131044,1
43.34938989,6.316021411,0
35.91245134,66.08913655,0
74.7745468,54.24949319,0
65.48640063,79.26993899,1
49.05079667,87.36136986,1
91.35611978,16.72882289,0
95.887769,89.48070191,1
100.6981592,23.05551275,1
6.823281684,39.43294698,1
83.33026624,13.48618568,0
12.34901488,29.02000978,0
96.21576835,6.878963324,0
21.58670325,20.52265054,0
72.18892608,72.08669299,1
27.2913481,11.44677529,0
91.53910227,29.49676938,1
90.0627503,43.26727924,1
49.28199982,8.606832362,0
37.00011818,59.84617486,0
47.35826098,88.47758281,1
112.55301,38.56383227,1
86.94152121,6.849244002,0
59.45493643,19.72479581,0
47.80219673,70.67515337,0
59.15094765,106.6247094,1
68.68235167,9.129326685,0
55.80562957,69.56969375,0
73.33749978,59.7820705,0
69.8646225,28.96474011,0
81.58455208,56.81941822,1
61.41401393,15.35735453,0
78.08365338,49.43935348,0
46.76621325,17.82681402,0
53.56073509,13.14304098,0
42.86770479,16.17786264,0
72.32454692,12.76394531,0
62.53570967,53.68648399,0
30.89791074,112.2668829,1
85.09184783,28.31477842,0
53.44793593,87.75748468,1
85.77757134,35.56851579,0
47.05893887,15.1543028,0
72.7553039,87.4175147,1
109.4022465,79.2915654,1
88.71651678,5.213449496,0
63.10606912,105.0325584,1
16.31930231,108.3181914,1
19.38410188,38.96693766,0
63.46837158,72.15011192,0
24.54217725,56.29450712,0
